gene_id,1622003800C,1621001800C,1622003500C,1621003700C,1621002900C,1621002200C,162200380CP,162100180CP,162200350CP,162100370CP,162100290CP,162100220CP
NONHSAG055563.2,2,0,0,1,2,0,0,0,0,0,0,0
NONHSAG103640.1,0,0,0,0,0,2,2,2,2,0,1,1
ENSG00000067840,87,174,196,81,124,162,215,394,372,222,259,299
ENSG00000180879,4232,2616,5353,3290,11247,1839,1821,3471,1556,2495,1643,1693
MSTRG.5843|ENSG00000067829,1641,1536,1853,1790,1516,1154,1416,1628,1184,1338,1320,1384
ENSG00000198753,1019,282,507,2533,87,314,1229,754,982,980,748,809
ENSG00000232725,0,5,1,0,0,0,1,0,0,0,2,2
MSTRG.5842|ENSG00000185825,2873,2943,4347,3912,3494,3457,2574,2562,3688,3702,4246,3443
MSTRG.5762|ENSG00000130821,1782,514,1567,2535,821,418,804,844,908,1389,1576,1145
ENSG00000130822,55,5,72,7,9,2,13,12,9,6,10,6
ENSG00000237793,1,0,0,0,0,0,0,1,0,0,1,2
ENSG00000182492,11310,47596,29231,32110,26380,13326,1929,6913,6787,4662,4080,4766
ENSG00000224963,0,3,1,0,2,5,0,0,4,0,0,0
ENSG00000189420,67,118,108,111,146,146,46,60,79,116,158,121
ENSG00000265170,0,0,0,0,1,1,1,0,1,0,0,1
ENSG00000214897,0,0,1,0,0,0,0,0,0,1,0,0
ENSG00000063587,757,1180,1188,764,2150,1279,895,1244,1032,1430,1344,1314
ENSG00000198681,2,0,0,0,0,0,0,0,0,0,0,0
ENSG00000235961,8,66,42,10,15,27,17,59,85,81,79,58
ENSG00000183837,27,7,8,1,9,5,15,14,26,18,28,17
NONHSAG055534.2,15,15,11,10,3,17,30,13,22,15,19,8
NONHSAG103638.1,2,0,0,0,0,0,0,1,0,0,0,0
NONHSAG104592.2,130,19,26,18,44,13,37,23,35,36,24,29
ENSG00000147383,1138,384,820,798,492,465,514,551,450,548,562,581
ENSG00000147400,1961,932,1364,1651,987,734,1014,1209,640,1176,870,1075
ENSG00000286051,3,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197172,3,0,0,2,0,0,0,0,0,0,0,0
ENSG00000268606,8,0,0,0,0,0,0,0,0,0,0,0
ENSG00000213401,12,0,0,0,0,0,0,0,0,0,0,0
ENSG00000221867,21,0,0,0,0,0,0,0,0,0,0,0
ENSG00000231937,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000124260,1,0,0,3,1,2,3,1,6,2,3,3
NONHSAG103634.1,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000147378,1,6,5,0,1,11,0,0,5,2,5,8
MSTRG.5760|ENSG00000130032,73,180,42,20,26,96,110,567,338,426,421,553
ENSG00000270052,0,0,0,0,0,0,1,0,0,0,0,0
NONHSAG055512.2,0,0,2,0,1,0,2,1,0,1,0,0
ENSG00000287918,10,10,6,2,10,12,16,16,10,21,7,12
ENSG00000102195,0,0,0,0,1,2,0,0,9,2,1,2
ENSG00000230508,0,0,0,0,0,0,1,0,0,0,0,0
NONHSAG103922.1,23,18,25,14,19,30,32,28,37,30,19,17
NONHSAG103632.1,12,15,13,6,16,14,34,12,29,19,17,16
MSTRG.5759|ENSG00000063601,1344,882,1292,1244,1313,522,1326,1231,1193,1386,999,1204
ENSG00000013619,420,322,366,475,125,263,235,372,563,357,573,360
ENSG00000234825,0,0,0,1,0,0,1,0,0,0,0,1
ENSG00000235703,271,142,252,174,172,116,473,123,345,276,151,210
MSTRG.5839|ENSG00000197021,438,360,1054,710,563,362,539,468,574,558,459,363
NONHSAG115251.1,94,110,309,157,97,108,229,160,145,216,160,129
ENSG00000156009,0,0,0,0,2,0,0,0,0,0,0,0
ENSG00000230899,0,1,1,0,1,0,0,1,1,0,0,0
ENSG00000171116,46,27,50,0,4,11,22,32,59,0,0,37
ENSG00000185247,1,1,0,0,0,0,0,0,0,0,0,0
ENSG00000269556,621,717,863,972,560,519,725,723,814,1036,757,822
ENSG00000268738,3,0,13,57,17,11,39,0,10,65,29,12
ENSG00000283697,0,0,15,0,0,0,0,0,0,0,0,0
ENSG00000241769,76,35,55,44,39,55,143,73,149,122,47,85
ENSG00000176289,1,0,0,0,0,0,2,0,0,0,0,0
ENSG00000238039,17,4,11,12,12,9,47,4,17,23,19,19
MSTRG.5838|ENSG00000241489,592,494,1022,630,714,583,893,853,1350,1282,881,737
ENSG00000010404,4188,5390,5134,3437,5590,3406,4833,5557,4387,6984,6892,5228
NONHSAG055490.2,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000223516,2,0,0,0,3,2,0,0,0,1,1,2
ENSG00000155966,98,215,58,90,177,151,127,187,126,224,231,709
ENSG00000219507,1,0,1,1,1,1,1,0,0,1,2,0
ENSG00000176988,0,0,2,0,0,1,0,1,0,0,0,0
ENSG00000236337,3,8,6,4,1,3,9,1,8,4,4,3
MSTRG.5758|ENSG00000102081,1837,2014,2305,1873,2536,1603,2273,2384,1720,2690,2499,2506
ENSG00000227083,0,0,2,0,0,0,1,1,0,1,1,0
ENSG00000287796,0,0,0,0,0,1,0,0,0,0,0,0
NONHSAG103624.1,2,2,2,0,2,6,3,2,2,1,5,5
NONHSAG103915.1,1,7,3,1,5,6,4,3,5,2,2,2
NONHSAG103622.1,0,0,1,0,3,0,0,1,2,0,1,0
